AGE,SEX,SCHOOL_AGED,SCHOOL_LEVEL,BURGERS_EATEN,RESTAURANTS_VISITED,CLASSIFICATION,STATE,COUNTY,COUNTY_CODE
21,FEMALE,True,CL,10,1,0,VA,Brunswick,51025
76,FEMALE,False,NOT,34,5,0,VA,Wise,51195
59,MALE,False,NOT,47,1,1,MD,Howard,24027
28,MALE,False,NOT,64,7,0,VA,Norfolk,51710
26,FEMALE,False,NOT,16,2,1,VA,Fauquier,51061
29,MALE,False,NOT,24,11,1,VA,Virginia Beach,51810
50,MALE,False,NOT,1,4,1,VA,Richmond City,51760
62,FEMALE,False,NOT,76,7,1,VA,Albemarle,51003
76,FEMALE,False,NOT,41,4,0,VA,Rockingham,51165
30,FEMALE,False,NOT,35,4,0,VA,Halifax,51083
15,MALE,True,HS,1,8,1,VA,Arlington,51013
27,FEMALE,False,NOT,37,1,1,VA,Goochland,51075
22,FEMALE,True,CL,29,8,1,VA,Roanoke,51161
53,FEMALE,False,NOT,22,18,1,VA,Newport News,51700
29,MALE,False,NOT,32,16,0,VA,Lynchburg,51680
26,MALE,False,NOT,25,6,1,VA,Fauquier,51061
31,FEMALE,False,NOT,39,9,1,VA,Portsmouth,51740
26,FEMALE,False,NOT,31,12,0,VA,Tazewell,51185
21,MALE,True,CL,20,6,0,NC,Wake,37183
70,MALE,False,NOT,37,4,1,VA,Campbell,51031
20,FEMALE,True,CL,12,8,1,VA,Portsmouth,51740
53,FEMALE,False,NOT,31,3,1,VA,Russell,51167
12,MALE,True,MS,34,8,1,VA,Montgomery,51121
48,MALE,False,NOT,34,4,1,VA,Fauquier,51061
77,MALE,False,NOT,33,16,0,VA,Fairfax,51059
22,MALE,True,CL,50,3,1,VA,Falls Church,51610
19,MALE,True,CL,38,6,0,VA,Fairfax,51059
32,FEMALE,False,NOT,47,15,1,VA,Fairfax,51059
14,FEMALE,True,HS,15,1,0,VA,Hanover,51085
17,FEMALE,True,HS,19,4,1,VA,Powhatan,51145
88,MALE,False,NOT,67,21,1,VA,Prince William,51153
58,FEMALE,False,NOT,7,25,1,VA,Bedford,51019
17,FEMALE,True,HS,45,7,1,VA,Rockingham,51165
63,FEMALE,False,NOT,61,8,1,VA,Frederick,51069
27,FEMALE,False,NOT,22,1,0,VA,Hanover,51085
44,MALE,False,NOT,8,15,1,VA,Newport News,51700
35,FEMALE,False,NOT,25,15,1,VA,Pulaski,51155
59,MALE,False,NOT,3,1,1,VA,Russell,51167
46,FEMALE,False,NOT,16,9,1,VA,Arlington,51013
22,MALE,True,CL,20,5,0,VA,Hanover,51085
17,FEMALE,True,HS,35,15,1,VA,Fairfax,51059
12,FEMALE,True,MS,14,11,0,VA,Hampton,51650
51,MALE,False,NOT,19,4,1,VA,Halifax,51083
12,MALE,True,MS,63,2,1,VA,Alexandria,51510
36,MALE,False,NOT,10,4,1,VA,Alexandria,51510
36,MALE,False,NOT,64,10,1,VA,Roanoke,51161
31,FEMALE,False,NOT,32,10,0,VA,Arlington,51013
45,FEMALE,False,NOT,49,1,1,VA,Halifax,51083
14,MALE,True,HS,8,3,0,VA,Bedford,51019
15,FEMALE,True,HS,22,1,1,NC,Forsyth,37067
49,FEMALE,False,NOT,22,20,0,VA,Arlington,51013
23,FEMALE,False,CL,21,11,1,VA,Manassas,51683
50,MALE,False,NOT,27,1,1,NC,Durham,37063
36,FEMALE,False,NOT,14,5,0,VA,Mecklenburg,51117
49,FEMALE,False,NOT,13,4,1,VA,Bedford,51019
28,MALE,False,NOT,14,11,1,VA,Manassas,51683
21,MALE,True,CL,50,6,1,VA,Alexandria,51510
80,FEMALE,False,NOT,6,2,0,VA,Pittsylvania,51143
83,FEMALE,False,NOT,14,6,1,VA,Lynchburg,51680
72,MALE,False,NOT,43,4,1,NC,Wake,37183
43,FEMALE,False,NOT,70,11,0,VA,Pittsylvania,51143
36,MALE,False,NOT,68,15,1,VA,Brunswick,51025
8,FEMALE,True,ES,47,5,0,VA,Halifax,51083
43,MALE,False,NOT,60,2,1,VA,Charlottesville,51540
22,MALE,True,CL,18,4,0,VA,Portsmouth,51740
12,FEMALE,True,MS,14,12,0,VA,Newport News,51700
43,MALE,False,NOT,1,6,1,VA,Virginia Beach,51810
83,FEMALE,False,NOT,15,13,0,VA,Halifax,51083
12,FEMALE,True,MS,17,2,1,VA,Mecklenburg,51117
33,FEMALE,False,NOT,2,7,1,MD,Howard,24027
23,FEMALE,False,CL,8,3,0,VA,Wythe,51197
49,FEMALE,False,NOT,91,3,1,MD,Montgomery,24031
51,MALE,False,NOT,22,8,1,MD,Baltimore,24005
26,FEMALE,False,NOT,8,5,0,NC,Durham,37063
25,FEMALE,False,NOT,19,6,1,VA,Fauquier,51061
56,FEMALE,False,NOT,29,13,1,VA,Fauquier,51061
21,MALE,True,CL,23,3,0,VA,Rockingham,51165
12,MALE,True,MS,11,2,1,VA,Washington,51191
43,MALE,False,NOT,44,2,1,VA,Lynchburg,51680
37,MALE,False,NOT,117,7,0,VA,Portsmouth,51740
40,FEMALE,False,NOT,56,2,0,VA,Norfolk,51710
60,FEMALE,False,NOT,19,9,0,VA,Norfolk,51710
56,MALE,False,NOT,21,4,0,VA,Loudoun,51107
37,MALE,False,NOT,37,2,1,VA,Rockingham,51165
34,MALE,False,NOT,27,4,1,VA,Tazewell,51185
19,MALE,True,CL,54,1,0,VA,Arlington,51013
11,FEMALE,True,MS,61,12,0,VA,Loudoun,51107
38,MALE,False,NOT,3,7,1,VA,Falls Church,51610
52,FEMALE,False,NOT,35,9,1,VA,Norfolk,51710
64,FEMALE,False,NOT,1,14,1,VA,Pittsylvania,51143
67,MALE,False,NOT,79,11,1,VA,Campbell,51031
68,FEMALE,False,NOT,17,12,1,VA,Pittsylvania,51143
49,FEMALE,False,NOT,3,18,1,VA,Pittsylvania,51143
24,MALE,False,NOT,30,11,1,NC,Mecklenburg,37119
30,FEMALE,False,NOT,67,1,0,VA,Brunswick,51025
53,MALE,False,NOT,66,10,1,VA,Norfolk,51710
42,MALE,False,NOT,35,10,1,VA,Tazewell,51185
57,MALE,False,NOT,14,3,1,VA,Roanoke,51161
37,FEMALE,False,NOT,18,3,0,VA,Roanoke City,51770
39,FEMALE,False,NOT,7,5,0,MD,Howard,24027
35,MALE,False,NOT,26,8,1,VA,Goochland,51075
30,MALE,False,NOT,27,8,0,VA,Henrico,51087
74,FEMALE,False,NOT,5,12,1,VA,Alexandria,51510
27,FEMALE,False,NOT,51,7,1,NC,Durham,37063
47,MALE,False,NOT,1,7,1,VA,Montgomery,51121
24,FEMALE,False,NOT,37,14,1,VA,Albemarle,51003
73,FEMALE,False,NOT,47,12,1,VA,Brunswick,51025
17,FEMALE,True,HS,54,10,0,VA,Prince William,51153
21,FEMALE,True,CL,24,8,1,VA,Chesapeake,51550
58,FEMALE,False,NOT,27,6,1,VA,Hampton,51650
45,MALE,False,NOT,50,4,1,VA,Arlington,51013
30,MALE,False,NOT,29,2,0,VA,Falls Church,51610
52,MALE,False,NOT,11,7,1,NC,Mecklenburg,37119
35,MALE,False,NOT,29,1,1,VA,Portsmouth,51740
28,MALE,False,NOT,85,1,1,VA,Chesterfield,51041
30,MALE,False,NOT,15,8,0,VA,Hanover,51085
67,FEMALE,False,NOT,12,4,1,VA,Washington,51191
55,FEMALE,False,NOT,19,2,1,VA,Fauquier,51061
48,MALE,False,NOT,32,13,1,NC,Wake,37183
40,FEMALE,False,NOT,10,7,1,VA,Albemarle,51003
33,MALE,False,NOT,3,17,0,MD,Anne Arundel,24003
26,MALE,False,NOT,29,8,1,VA,Washington,51191
62,MALE,False,NOT,26,1,1,VA,Russell,51167
14,FEMALE,True,HS,3,1,0,VA,Frederick,51069
10,FEMALE,True,ES,5,4,0,VA,Chesapeake,51550
51,FEMALE,False,NOT,24,3,1,VA,Chesterfield,51041
28,FEMALE,False,NOT,15,7,0,MD,Anne Arundel,24003
66,MALE,False,NOT,9,10,0,VA,Washington,51191
56,FEMALE,False,NOT,15,9,0,VA,Montgomery,51121
37,FEMALE,False,NOT,10,9,0,VA,Newport News,51700
57,FEMALE,False,NOT,20,18,1,VA,Roanoke City,51770
61,MALE,False,NOT,43,1,1,VA,Rockingham,51165
64,MALE,False,NOT,49,16,1,MD,Montgomery,24031
31,FEMALE,False,NOT,11,7,0,VA,Newport News,51700
10,FEMALE,True,ES,27,8,0,VA,Mecklenburg,51117
2,FEMALE,True,NOT,26,7,1,VA,Bedford,51019
62,MALE,False,NOT,4,7,0,VA,Brunswick,51025
37,FEMALE,False,NOT,1,19,1,VA,Fairfax,51059
19,MALE,True,CL,61,15,1,VA,Norfolk,51710
42,MALE,False,NOT,37,18,1,VA,Wythe,51197
40,FEMALE,False,NOT,60,11,1,VA,Pittsylvania,51143
41,MALE,False,NOT,48,2,1,VA,Chesapeake,51550
30,FEMALE,False,NOT,37,6,0,VA,Richmond City,51760
53,FEMALE,False,NOT,49,10,1,MD,Howard,24027
17,FEMALE,True,HS,20,5,0,NC,Guilford,37081
32,FEMALE,False,NOT,39,25,1,VA,Alexandria,51510
22,MALE,True,CL,48,10,1,VA,Richmond City,51760
52,FEMALE,False,NOT,38,4,0,VA,Montgomery,51121
23,FEMALE,False,CL,9,12,0,VA,Chesapeake,51550
13,MALE,True,MS,7,3,0,VA,Wythe,51197
45,MALE,False,NOT,35,8,1,VA,Mecklenburg,51117
44,FEMALE,False,NOT,10,10,1,VA,Norfolk,51710
13,MALE,True,MS,10,18,0,VA,Portsmouth,51740
60,FEMALE,False,NOT,15,18,1,VA,Wise,51195
41,FEMALE,False,NOT,18,10,1,VA,Montgomery,51121
29,FEMALE,False,NOT,16,1,1,VA,Mecklenburg,51117
5,MALE,True,ES,15,6,1,VA,Manassas,51683
53,FEMALE,False,NOT,20,5,0,VA,Hampton,51650
43,MALE,False,NOT,5,4,0,VA,Wise,51195
47,MALE,False,NOT,3,4,1,VA,Pulaski,51155
50,FEMALE,False,NOT,74,12,1,VA,Mecklenburg,51117
8,FEMALE,True,ES,8,15,1,MD,Prince Georges,24033
31,FEMALE,False,NOT,1,9,1,VA,Fauquier,51061
62,MALE,False,NOT,12,7,0,VA,Augusta,51015
14,MALE,True,HS,1,21,0,VA,Russell,51167
37,FEMALE,False,NOT,4,8,0,VA,Bedford,51019
14,MALE,True,HS,21,2,0,VA,Halifax,51083
52,MALE,False,NOT,4,5,0,VA,Chesapeake,51550
37,MALE,False,NOT,61,7,1,VA,Augusta,51015
52,FEMALE,False,NOT,40,1,1,MD,Howard,24027
49,FEMALE,False,NOT,49,7,1,VA,Russell,51167
71,MALE,False,NOT,23,1,0,VA,Russell,51167
73,MALE,False,NOT,6,8,1,VA,Montgomery,51121
12,FEMALE,True,MS,15,5,0,VA,Albemarle,51003
46,MALE,False,NOT,27,11,1,VA,Frederick,51069
73,MALE,False,NOT,54,5,0,VA,Brunswick,51025
40,FEMALE,False,NOT,6,10,1,VA,Montgomery,51121
79,FEMALE,False,NOT,22,6,0,VA,Richmond City,51760
32,FEMALE,False,NOT,47,2,1,VA,Goochland,51075
57,MALE,False,NOT,28,10,0,VA,Hampton,51650
76,FEMALE,False,NOT,74,7,1,VA,Campbell,51031
18,MALE,True,HS,14,1,0,VA,Manassas,51683
35,FEMALE,False,NOT,14,3,0,VA,Roanoke,51161
75,FEMALE,False,NOT,20,15,1,VA,Charlottesville,51540
48,FEMALE,False,NOT,34,25,1,VA,Halifax,51083
50,FEMALE,False,NOT,52,4,1,VA,Rockingham,51165
60,FEMALE,False,NOT,22,6,1,VA,Montgomery,51121
35,FEMALE,False,NOT,55,7,0,VA,Pittsylvania,51143
52,MALE,False,NOT,36,5,1,VA,Goochland,51075
47,FEMALE,False,NOT,89,1,1,VA,Hanover,51085
28,MALE,False,NOT,29,3,1,VA,Russell,51167
35,FEMALE,False,NOT,40,2,1,VA,Virginia Beach,51810
79,MALE,False,NOT,35,2,1,VA,Norfolk,51710
23,MALE,False,CL,52,2,1,VA,Pittsylvania,51143
63,MALE,False,NOT,30,6,1,VA,Tazewell,51185
43,FEMALE,False,NOT,16,2,1,VA,Henrico,51087
58,MALE,False,NOT,5,13,1,VA,Washington,51191
59,FEMALE,False,NOT,13,5,0,NC,Durham,37063
46,MALE,False,NOT,15,3,0,VA,Fairfax,51059
29,FEMALE,False,NOT,57,3,0,VA,Pittsylvania,51143
71,MALE,False,NOT,44,1,1,VA,Fairfax,51059
61,MALE,False,NOT,113,3,1,VA,Chesterfield,51041
45,FEMALE,False,NOT,22,15,1,VA,Roanoke,51161
44,MALE,False,NOT,7,15,0,VA,Virginia Beach,51810
22,MALE,True,CL,9,1,0,VA,Norfolk,51710
56,MALE,False,NOT,49,7,0,VA,Henrico,51087
72,MALE,False,NOT,12,10,1,VA,Prince William,51153
19,FEMALE,True,CL,3,8,0,VA,Hampton,51650
21,MALE,True,CL,35,6,0,VA,Charlottesville,51540
39,FEMALE,False,NOT,47,2,1,VA,Frederick,51069
25,FEMALE,False,NOT,2,11,1,VA,Rockingham,51165
38,MALE,False,NOT,13,5,0,VA,Brunswick,51025
37,MALE,False,NOT,12,6,0,VA,Albemarle,51003
20,FEMALE,True,CL,23,13,0,VA,Halifax,51083
75,MALE,False,NOT,12,6,0,VA,Portsmouth,51740
19,MALE,True,CL,20,17,1,VA,Bedford,51019
38,FEMALE,False,NOT,28,2,1,VA,Hanover,51085
24,FEMALE,False,NOT,2,17,0,MD,Montgomery,24031
67,MALE,False,NOT,18,3,1,MD,Prince Georges,24033
41,MALE,False,NOT,14,7,1,VA,Frederick,51069
41,MALE,False,NOT,18,20,1,VA,Wythe,51197
72,MALE,False,NOT,18,4,0,VA,Mecklenburg,51117
33,FEMALE,False,NOT,2,3,0,VA,Halifax,51083
46,FEMALE,False,NOT,84,4,1,VA,Charlottesville,51540
24,MALE,False,NOT,25,4,0,VA,Tazewell,51185
38,FEMALE,False,NOT,50,10,0,VA,Frederick,51069
52,FEMALE,False,NOT,9,7,0,VA,Albemarle,51003
21,FEMALE,True,CL,61,23,1,VA,Wise,51195
34,MALE,False,NOT,24,2,1,VA,Roanoke,51161
46,FEMALE,False,NOT,38,9,0,VA,Manassas,51683
14,MALE,True,HS,4,1,1,VA,Pittsylvania,51143
52,FEMALE,False,NOT,15,11,1,VA,Falls Church,51610
46,FEMALE,False,NOT,26,2,1,VA,Roanoke City,51770
31,MALE,False,NOT,84,1,1,VA,Wythe,51197
41,MALE,False,NOT,34,1,1,VA,Loudoun,51107
78,MALE,False,NOT,6,25,0,VA,Roanoke City,51770
16,MALE,True,HS,7,4,0,VA,Norfolk,51710
37,MALE,False,NOT,3,6,1,VA,Halifax,51083
78,MALE,False,NOT,10,18,1,VA,Portsmouth,51740
23,MALE,False,CL,62,10,1,MD,Howard,24027
30,FEMALE,False,NOT,32,13,1,VA,Halifax,51083
60,FEMALE,False,NOT,38,9,1,VA,Loudoun,51107
44,FEMALE,False,NOT,62,3,0,VA,Portsmouth,51740
35,MALE,False,NOT,39,25,1,VA,Charlottesville,51540
16,FEMALE,True,HS,4,10,1,VA,Manassas,51683
58,MALE,False,NOT,47,8,1,VA,Alexandria,51510
77,FEMALE,False,NOT,98,3,1,VA,Brunswick,51025
39,MALE,False,NOT,4,12,0,VA,Chesterfield,51041
57,MALE,False,NOT,28,5,1,VA,Newport News,51700
29,MALE,False,NOT,60,9,1,VA,Tazewell,51185
25,FEMALE,False,NOT,49,6,1,VA,Manassas,51683
15,FEMALE,True,HS,99,5,0,VA,Lynchburg,51680
48,FEMALE,False,NOT,11,1,0,MD,Montgomery,24031
67,MALE,False,NOT,54,8,1,VA,Portsmouth,51740
36,FEMALE,False,NOT,22,3,1,NC,Forsyth,37067
57,FEMALE,False,NOT,17,7,0,VA,Hanover,51085
34,FEMALE,False,NOT,12,6,1,NC,Mecklenburg,37119
53,FEMALE,False,NOT,55,1,1,VA,Norfolk,51710
38,MALE,False,NOT,5,9,0,VA,Wythe,51197
7,MALE,True,ES,27,3,0,VA,Charlottesville,51540
23,MALE,False,CL,12,6,0,VA,Mecklenburg,51117
29,FEMALE,False,NOT,24,2,0,VA,Pittsylvania,51143
36,MALE,False,NOT,19,5,0,VA,Pulaski,51155
48,MALE,False,NOT,24,15,0,VA,Pulaski,51155
12,MALE,True,MS,32,9,0,VA,Roanoke,51161
15,FEMALE,True,HS,10,2,0,VA,Fairfax,51059
35,MALE,False,NOT,5,3,0,VA,Campbell,51031
65,FEMALE,False,NOT,10,8,0,VA,Fairfax,51059
47,MALE,False,NOT,27,22,0,VA,Norfolk,51710
18,FEMALE,True,HS,24,6,0,VA,Bedford,51019
10,MALE,True,ES,10,1,0,VA,Roanoke,51161
30,FEMALE,False,NOT,27,9,0,VA,Roanoke City,51770
38,FEMALE,False,NOT,58,7,1,VA,Loudoun,51107
64,FEMALE,False,NOT,24,1,0,VA,Pulaski,51155
14,FEMALE,True,HS,9,5,0,VA,Virginia Beach,51810
55,FEMALE,False,NOT,4,5,1,VA,Mecklenburg,51117
23,MALE,False,CL,24,12,1,VA,Tazewell,51185
67,FEMALE,False,NOT,8,5,1,MD,Montgomery,24031
55,MALE,False,NOT,16,25,1,VA,Newport News,51700
55,FEMALE,False,NOT,33,5,0,VA,Goochland,51075
62,MALE,False,NOT,30,10,1,VA,Roanoke,51161
29,MALE,False,NOT,60,17,1,VA,Roanoke,51161
72,MALE,False,NOT,2,6,1,VA,Campbell,51031
36,FEMALE,False,NOT,19,3,1,VA,Albemarle,51003
53,MALE,False,NOT,19,8,0,VA,Falls Church,51610
69,FEMALE,False,NOT,27,4,1,VA,Campbell,51031
9,FEMALE,True,ES,6,4,0,VA,Pittsylvania,51143
61,MALE,False,NOT,11,13,1,VA,Fauquier,51061
58,FEMALE,False,NOT,5,2,1,VA,Mecklenburg,51117
56,MALE,False,NOT,29,13,1,VA,Fairfax,51059
19,FEMALE,True,CL,10,3,1,VA,Portsmouth,51740
22,MALE,True,CL,48,10,0,VA,Brunswick,51025
35,FEMALE,False,NOT,43,25,1,VA,Powhatan,51145
39,MALE,False,NOT,53,3,0,VA,Alexandria,51510
29,FEMALE,False,NOT,15,5,0,VA,Roanoke,51161
66,FEMALE,False,NOT,15,3,1,VA,Powhatan,51145
1,MALE,True,NOT,16,9,1,VA,Portsmouth,51740
32,FEMALE,False,NOT,9,9,1,VA,Alexandria,51510
15,FEMALE,True,HS,5,11,0,VA,Henrico,51087
72,FEMALE,False,NOT,8,4,1,VA,Hampton,51650
47,FEMALE,False,NOT,70,2,0,VA,Campbell,51031
36,MALE,False,NOT,13,12,1,VA,Washington,51191
19,FEMALE,True,CL,84,4,1,VA,Lynchburg,51680
47,MALE,False,NOT,12,8,0,VA,Wise,51195
15,MALE,True,HS,26,3,1,VA,Chesterfield,51041
